Ticket_Number,Product_Code,Brand,CAT,BU,SKU_Name,Mapping_Status
7459087-20260101-182140,12621098,IN C&C : Kitkat Tablets,CHOCOLATE,F&B,Product:KIT KAT Gooey Salted Crml 10(6x112g) IN,Exact Product Code Match
7459087-20260101-182140,12629234,IN C&C : Kitkat,CHOCOLATE,F&B,Product:KIT KAT Gooey Salted Crml 10(6x112g) IN,Exact Product Code Match
6007542-20260325-133935,60024176,Not Available,Not Available,Not Available,KIT KAT Hazelnut Crunch 10(6x120g),Not Available
6007542-20260319-175344,12629157,IN C&C : Kitkat,CHOCOLATE,F&B,KIT KAT 2F MINI 24(42X13.2g)IN,Exact Product Code Match
601559-20260323-105538,,Not Available,Not Available,Not Available,,Not Available
601559-20260316-104609,,Not Available,Not Available,Not Available,,Not Available
601559-20260205-174837,,Not Available,Not Available,Not Available,,Not Available
601559-20260119-113122,,Not Available,Not Available,Not Available,,Not Available
601559-20260112-115905,,Not Available,Not Available,Not Available,,Not Available
601559-20260105-105035,,Not Available,Not Available,Not Available,,Not Available
601564-20260407-150555,,Not Available,Not Available,Not Available,,Not Available
601564-20260407-151212,,Not Available,Not Available,Not Available,,Not Available
601564-20260407-151640,,Not Available,Not Available,Not Available,,Not Available
601564-20260407-152209,,Not Available,Not Available,Not Available,,Not Available
601564-20260407-152630,,Not Available,Not Available,Not Available,,Not Available
601564-20260407-153157,,Not Available,Not Available,Not Available,,Not Available
601564-20260407-153450,,Not Available,Not Available,Not Available,,Not Available
3030771-20260624-105942,12559592,IN CUL : Pazzta,CULINARY,F&B,,Exact Product Code Match
3030771-20260624-110119,12623517,IN CUL : Noodles,CULINARY,F&B,,Exact Product Code Match
601572-20260321-125205,13718223,IN C&C : Milkybar,CHOCOLATE,F&B,milkybar 30x13.2g,Exact Product Code Match
6801093-20260216-154250,,Not Available,Not Available,Not Available,,Not Available
5962679-20260514-160023,12579448,IN NSB : Lactogen 1,INFANT NUTRITION,NN,LACTOGEN PRO1 BIB 24x400g INNWPB176 IN,Exact Product Code Match
7005926-20260617-124051,14508794,IN C&B : Nescafe Classic Large Packs,BEVERAGES,F&B,,Exact Product Code Match
7005926-20260312-144651,13680206,IN CUL : Noodles,CULINARY,F&B,,Exact Product Code Match
7005926-20260312-145313,12579461,IN NSB : Lactogen 1,INFANT NUTRITION,NN,,Exact Product Code Match
7005926-20260212-153346,12601932,IN NSB : Cerelac 1,INFANT NUTRITION,NN,CERELAC STG 1 Wheat Apple ZS 24x350 g IN,Exact Product Code Match
7327061-20260610-112054,13737115,IN C&C : Kitkat,CHOCOLATE,F&B,INV NUMBER 1099854501 DATED 08.06.2026,Exact Product Code Match
6863779-20260526-130437,,Not Available,Not Available,Not Available,,Not Available
6863779-20260411-172154,,Not Available,Not Available,Not Available,,Not Available
7557703-20260606-164257,,Not Available,Not Available,Not Available,MAGGI 2-MINN Mas 24x300g PR Rs 2 Off IN,Not Available
7557703-20260604-140155,,Not Available,Not Available,Not Available,Maggi 2-Minn Chkn 24*304g IN,Not Available
7090083-20260514-133328,12614433,IN C&C : Kitkat Tablets,CHOCOLATE,F&B,Name : KIT KAT Tablet Dark 12(12x50g),Exact Product Code Match
7090083-20260128-092719,13797726,IN CUL : Masala-ae-Magic,CULINARY,F&B,MAGGI MeM 16(2(60x6g) PR B5G1,Exact Product Code Match
7227511-20260527-181525,12463609,IN C&B : Cardamom Tea Premix - FS,NP,NP,NESTEA Cardamom Tea 16x1Kg IN; MILKMAID Partly Skimmed SCM Tin 4x5kg IN,Exact Product Code Match
7227511-20260527-181525,12230487,IN SSD : Milkmaid SCM – FS,NP,NP,NESTEA Cardamom Tea 16x1Kg IN; MILKMAID Partly Skimmed SCM Tin 4x5kg IN,Exact Product Code Match
7227511-20260314-161200,13718181,IN C&C : Kitkat,CHOCOLATE,F&B,KIT KAT 2F 24(30x22.1g) IN,Exact Product Code Match
7253085-20260602-213744,14378778,IN C&C : Munch,CHOCOLATE,F&B,PRODUCT DETAILS - MUNCH TWIN BAR 24(24X19.8g)NR IN,Exact Product Code Match
7253085-20260602-214651,12601933,IN NSB : Cerelac 1,INFANT NUTRITION,NN,PRODUCT DETAILS - CERELAC STG 1 RICE ZS 24 X 300g IN,Exact Product Code Match
7253085-20260508-114349,12587374,IN C&C : Kitkat,CHOCOLATE,F&B,PRODUCT DETAILS - KIT KAT 18X1F SHAREBAG 64X 133.2G IN,Exact Product Code Match
5038599-20260512-153020,,Not Available,Not Available,Not Available,,Not Available
6151677-20260621-130413,,Not Available,Not Available,Not Available,,Not Available
6151677-20260620-172311,,Not Available,Not Available,Not Available,,Not Available
6151677-20260620-174050,12584920,IN SSD : Milkmaid SCM,DAIRY,F&B,,Exact Product Code Match
6151677-20260620-174050,12616251,IN CUL : Noodles Chicken,CULINARY,F&B,,Exact Product Code Match
6151677-20260620-174050,14511910,IN C&B : Nescafe Sunrise Large Packs,BEVERAGES,F&B,,Exact Product Code Match
601607-20260618-203108,,Not Available,Not Available,Not Available,,Not Available
601607-20260111-130318,,Not Available,Not Available,Not Available,,Not Available
4409276-20260624-184933,12726758,IN CUL : Masala-ae-Magic,CULINARY,F&B,MAGGI Masala-ae-Magic Sbg 60x72g N2 IN,Exact Product Code Match
4409276-20260504-175129,,Not Available,Not Available,Not Available,,Not Available
4409276-20260421-201216,,Not Available,Not Available,Not Available,,Not Available
4409276-20260421-201546,,Not Available,Not Available,Not Available,,Not Available
4409276-20260417-132928,,Not Available,Not Available,Not Available,,Not Available
7595920-20260613-111639,12608496,IN CUL : Noodles,CULINARY,F&B,MAGGI 2-MINN Masala 48x150g N1 IN,Exact Product Code Match
7354266-20260606-203502,,Not Available,Not Available,Not Available,,Not Available
7198893-20260629-224730,,Not Available,Not Available,Not Available,,Not Available
7198893-20260511-160510,,Not Available,Not Available,Not Available,,Not Available
7198893-20260318-152254,12497672,IN NSB : NAN PRO 1,INFANT NUTRITION,NN,,Exact Product Code Match
7198893-20260120-134804,13767984,IN C&C : Polo,CONFECTIONARY,F&B,,Exact Product Code Match
7031803-20260529-163543,,Not Available,Not Available,Not Available,,Not Available
7031803-20260523-201429,12629157,IN C&C : Kitkat,CHOCOLATE,F&B,kit kat 2f mini 24(42x13.2g),Exact Product Code Match
7031803-20260523-202155,12448239,IN C&B : NESTEA RTD COLD,BEVERAGES,F&B,Nestea iced tea lemon RTD 30X200ml,Exact Product Code Match
